Threat,Proportion of EPBC listed species (%)
Invasive species/genes,78.4
Fire and fire suppression,59.8
Ecosystem/community stresses,54.1
Agriculture and aquaculture,52.3
Species stresses,43.3
Human intrusions and disturbance,36.8
Climate change and severe weather,34.6
Biological resource use,29.6
Transportation and service corridors,28.1
Residential and commercial development,20.9
Dams and water management/use,19.3
Pollution,18.6
Energy production and mining,16.7
Protected status,5.5
Uncategorised/other,7
